City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Verkhnyaya Inta,RU,2021-09-20 00:23:18,65.9811,60.3094,30.33,94,27,5.84
104,Micheweni,TZ,2021-09-20 00:23:19,-4.9667,39.8333,76.06,81,15,13.6
105,Hun,LY,2021-09-20 00:23:19,29.1268,15.9477,83.1,24,0,8.08
106,Castro,BR,2021-09-20 00:23:19,-24.7911,-50.0119,65.52,95,73,9.46
107,Wad Rawah,SD,2021-09-20 00:23:19,15.1603,33.1397,87.49,48,14,4.32
108,Kolyvan,RU,2021-09-20 00:23:20,55.3053,82.7391,40.05,86,79,10.6
109,Presidencia Roque Saenz Pena,AR,2021-09-20 00:23:20,-26.7852,-60.4388,87.87,27,99,6.73
110,Savalou,BJ,2021-09-20 00:23:20,7.9281,1.9756,73.44,97,69,4.18
111,Mabaruma,GY,2021-09-20 00:23:20,8.2,-59.7833,76.23,84,86,3.6
112,Pori,FI,2021-09-20 00:23:21,61.4833,21.7833,42.87,75,90,2.3
113,Sept-Iles,CA,2021-09-20 00:23:21,50.2001,-66.3821,53.06,80,40,6.91
114,Imbituba,BR,2021-09-20 00:23:21,-28.24,-48.6703,69.69,97,68,13.71
115,Mana,GF,2021-09-20 00:23:22,5.6592,-53.7767,79.56,82,88,9.19
116,Sao Joao Da Barra,BR,2021-09-20 00:20:51,-21.6403,-41.0511,74.52,86,20,7.4
117,Tabou,CI,2021-09-20 00:23:22,4.423,-7.3528,77.61,88,24,3.71
118,Narsaq,GL,2021-09-20 00:23:22,60.9167,-46.05,41.22,88,77,3.38
119,Terrace Bay,CA,2021-09-20 00:23:23,48.7834,-87.1,69.42,90,96,11.14
120,Guadix,ES,2021-09-20 00:23:23,37.2993,-3.1392,65.3,53,0,0.92
121,Ribeira Grande,PT,2021-09-20 00:23:23,38.5167,-28.7,70.48,67,54,11.05
122,Vila Franca Do Campo,PT,2021-09-20 00:23:23,37.7167,-25.4333,68.41,75,87,8.59
123,San Ramon,US,2021-09-20 00:21:03,37.7799,-121.978,81.45,54,1,5.99
124,Pailon,BO,2021-09-20 00:23:24,-17.65,-62.75,83.3,32,23,12.01
125,Lubbenau,DE,2021-09-20 00:23:24,51.8667,13.9667,52.65,70,90,4.18
126,Horqueta,PY,2021-09-20 00:23:24,-23.3428,-57.0597,85.37,20,2,5.7
127,Aswan,EG,2021-09-20 00:23:25,24.0934,32.907,84.04,18,23,6.69
128,Margate,GB,2021-09-20 00:23:25,51.3813,1.3862,60.69,97,100,11.74
129,Piacabucu,BR,2021-09-20 00:23:25,-10.4056,-36.4344,73.94,81,62,8.16
130,Changji,CN,2021-09-20 00:23:26,44.0167,87.3167,72.39,26,0,13.42
131,Amarante Do Maranhao,BR,2021-09-20 00:23:26,-5.5667,-46.7422,82.4,49,78,4.59
132,Walvis Bay,NA,2021-09-20 00:23:26,-22.9575,14.5053,54.09,87,4,4.61
133,Sabha,LY,2021-09-20 00:23:26,27.0377,14.4283,80.29,24,0,8.28
134,Praia Da Vitoria,PT,2021-09-20 00:23:27,38.7333,-27.0667,68.76,88,40,11.61
135,Santiago,CL,2021-09-20 00:19:45,-33.4569,-70.6483,52.75,66,20,12.66
136,Bharatpur,IN,2021-09-20 00:23:27,27.2167,77.4833,77.41,93,6,5.95
137,Marzuq,YE,2021-09-20 00:23:27,14.4,46.4667,76.89,39,74,1.32
138,Huarmey,PE,2021-09-20 00:23:27,-10.0681,-78.1522,61.72,80,6,11.07
139,Roald,NO,2021-09-20 00:23:28,62.5833,6.1333,56.34,94,90,2.3
140,Mbaiki,CF,2021-09-20 00:23:28,3.8678,17.9892,69.3,98,73,2.73
141,Viana,BR,2021-09-20 00:23:28,-20.3903,-40.4961,76.77,97,33,1.03
142,Vendome,FR,2021-09-20 00:23:28,47.8,1.0667,60.49,95,100,5.73
143,Sorland,NO,2021-09-20 00:23:29,67.667,12.6934,51.24,77,100,14.81
144,Georgetown,MY,2021-09-20 00:23:29,5.4112,100.3354,78.73,95,20,4.61
145,Bonoua,CI,2021-09-20 00:23:29,5.2741,-3.595,76.62,95,36,4.52
146,Asyut,EG,2021-09-20 00:23:30,27.181,31.1837,82.49,28,0,6.64
147,Meulaboh,ID,2021-09-20 00:23:30,4.1363,96.1285,74.14,88,100,4.07
148,Komatipoort,ZA,2021-09-20 00:23:30,-25.4332,31.9548,63.3,45,0,3.02
149,Rocha,UY,2021-09-20 00:23:31,-34.4833,-54.3333,61.18,97,100,8.48
150,Grindavik,IS,2021-09-20 00:23:31,63.8424,-22.4338,52.27,100,90,23.02
151,Serenje,ZM,2021-09-20 00:23:31,-13.2325,30.2352,57.76,78,1,3.74
152,Laguna,US,2021-09-20 00:18:54,38.421,-121.4238,83.44,34,1,5.01
153,Uarini,BR,2021-09-20 00:23:31,-2.99,-65.1083,78.75,75,76,1.57
154,Kruisfontein,ZA,2021-09-20 00:23:32,-34.0033,24.7314,51.89,88,14,6.82
155,Klaksvik,FO,2021-09-20 00:23:32,62.2266,-6.589,50.92,87,37,14.47
156,Suluktu,KG,2021-09-20 00:23:32,39.9337,69.57,51.28,28,0,3.53
157,Punta Arenas,CL,2021-09-20 00:21:53,-53.15,-70.9167,41.11,81,20,18.41
158,Wald-Michelbach,DE,2021-09-20 00:23:33,49.57,8.8317,55.04,80,100,2.75
159,Killybegs,IE,2021-09-20 00:23:33,54.6333,-8.45,55.45,90,17,6.8
160,Vary,UA,2021-09-20 00:23:33,48.1221,22.7128,48.16,88,32,3.87
161,Boa Vista,BR,2021-09-20 00:23:33,2.8197,-60.6733,80.58,89,75,1.14
162,Nouadhibou,MR,2021-09-20 00:23:34,20.931,-17.0347,76.98,88,0,16.11
163,Camana,PE,2021-09-20 00:23:34,-16.6228,-72.7111,60.37,84,76,5.77
164,Kholm,RU,2021-09-20 00:23:34,59.2667,32.85,38.95,79,100,9.6
165,Naifaru,MV,2021-09-20 00:23:34,5.4444,73.3657,82.47,77,27,12.84
166,Saint George,US,2021-09-20 00:21:09,37.1041,-113.5841,92.62,12,1,5.01
167,Ushtobe,KZ,2021-09-20 00:23:35,45.2514,77.9838,52.41,31,18,6.24
168,Kotovo,RU,2021-09-20 00:23:35,50.3211,44.8012,52.2,39,100,14.23
169,Kashi,CN,2021-09-20 00:23:35,39.4547,75.9797,70.81,18,0,8.95
