,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Senno,RU,59.5336,33.9167,42.73,88,82,9.89,broken clouds
114,Dikson,RU,73.5069,80.5464,34.16,73,24,8.99,few clouds
115,Tumaco,CO,1.7986,-78.8156,75.88,83,100,3.56,overcast clouds
116,Robertsport,LR,6.7533,-11.3686,78.37,84,100,6.8,moderate rain
117,Touros,BR,-5.1989,-35.4608,77.9,79,61,15.05,broken clouds
118,Gumdag,TM,39.2061,54.5906,72.21,47,0,4.43,clear sky
119,Rio Grande,BR,-32.035,-52.0986,55.94,89,36,1.28,scattered clouds
120,Thinadhoo,MV,0.5333,72.9333,81.95,77,100,15.52,moderate rain
121,Asfi,MA,32.2994,-9.2372,68.05,78,99,4.59,overcast clouds
122,Kamoke,PK,31.9744,74.2244,77.13,82,0,4.5,clear sky
123,Havelock,US,34.8791,-76.9013,71.58,91,100,5.12,overcast clouds
124,Hambantota,LK,6.1241,81.1185,82.24,76,99,16.69,overcast clouds
125,Vardo,NO,70.3705,31.1107,46.81,78,100,23.38,overcast clouds
126,Victoria,HK,22.2855,114.1577,89.65,82,34,1.99,scattered clouds
127,Zhezkazgan,KZ,47.8043,67.7144,40.96,69,0,15.86,clear sky
128,Shagamu,NG,6.8432,3.6478,76.78,94,86,1.74,overcast clouds
129,Kyshtovka,RU,56.555,76.6271,36.59,97,100,10.33,overcast clouds
130,Grand Gaube,MU,-20.0064,57.6608,72.0,85,22,7.0,few clouds
131,Sao Filipe,CV,14.8961,-24.4956,78.62,77,100,7.38,overcast clouds
132,Mari-Turek,RU,56.7895,49.6235,46.27,92,100,11.56,light rain
133,Ternovka,RU,51.678,41.6375,42.6,85,20,4.23,few clouds
134,Arosa,CH,46.7779,9.6762,43.47,58,1,1.57,clear sky
135,Hamilton,US,39.1834,-84.5333,56.77,80,1,0.0,clear sky
136,Buraydah,SA,26.326,43.975,79.25,18,5,8.93,clear sky
137,Jensen Beach,US,27.2545,-80.2298,81.05,89,14,0.0,few clouds
138,Fonte Boa,BR,-2.4959,-66.2662,73.81,98,100,1.68,moderate rain
139,Sokoni,TZ,-6.4333,39.55,76.3,80,16,10.92,few clouds
140,Aqtobe,KZ,50.2797,57.2072,46.49,53,0,17.9,clear sky
141,Yar-Sale,RU,66.8333,70.8333,37.54,89,82,7.83,broken clouds
142,Shelbyville,US,35.4834,-86.4603,56.68,45,1,0.0,clear sky
143,Balezino,RU,57.9796,53.0106,44.08,77,100,9.42,overcast clouds
144,Luderitz,NA,-26.6481,15.1594,58.3,61,19,12.12,few clouds
145,Falun,SE,60.6036,15.626,48.94,78,93,15.68,overcast clouds
146,Farafangana,MG,-22.8167,47.8333,66.38,86,66,3.8,broken clouds
147,Filadelfia,US,39.9523,-75.1638,65.7,93,90,3.0,overcast clouds
148,Ostrovnoy,RU,68.0531,39.5131,42.93,85,10,13.38,clear sky
149,Isabela,PH,6.7085,121.9711,87.85,70,75,1.48,broken clouds
150,Port-Cartier,CA,50.0334,-66.8654,52.02,95,100,5.55,overcast clouds
151,Teseney,ER,15.11,36.6575,76.91,73,75,4.72,broken clouds
152,Iqaluit,CA,63.7506,-68.5145,31.73,86,90,12.66,light snow
153,Chistoye,RU,56.5375,43.0045,47.8,97,100,7.43,moderate rain
154,Lagoa,PT,39.05,-27.9833,68.79,63,100,11.61,overcast clouds
155,Palma Soriano,CU,20.2172,-75.9989,79.66,86,12,2.59,few clouds
156,Kralendijk,BQ,12.15,-68.2667,84.18,84,99,13.8,overcast clouds
157,Abu Zabad,SD,12.35,29.25,77.05,73,22,7.9,few clouds
158,Mikhaylovskoye,RU,51.8239,79.7172,35.29,87,14,7.07,few clouds
159,Summerville,US,33.0185,-80.1757,67.78,93,20,0.0,few clouds
160,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,18.41,light rain
161,Antalaha,MG,-14.9003,50.2788,66.56,77,0,8.14,clear sky
162,Nicoya,CR,10.1483,-85.452,71.15,90,100,0.4,moderate rain
163,Amapa,BR,1.0,-52.0,73.45,83,85,4.85,overcast clouds
164,Margate,GB,51.3813,1.3862,59.7,91,3,1.99,clear sky
165,Namibe,AO,-15.1961,12.1522,65.08,94,40,3.51,scattered clouds
166,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,32,0,16.11,clear sky
167,Karonga,MW,-9.9333,33.9333,70.72,77,18,3.38,light rain
168,Temiscaming,CA,46.7212,-79.0971,55.67,94,100,0.0,overcast clouds
169,Aripuana,BR,-9.1667,-60.6333,79.47,62,12,3.42,few clouds
170,Kamenka,RU,51.3223,42.7678,44.33,76,93,2.57,overcast clouds
171,Kuri,KR,37.5986,127.1394,76.86,53,63,2.82,broken clouds
172,Tigzirt,DZ,36.8886,4.1198,80.29,61,98,5.7,overcast clouds
173,Mayumba,GA,-3.432,10.6554,75.49,86,87,4.81,overcast clouds
174,Tasiilaq,GL,65.6145,-37.6368,35.76,60,89,5.17,overcast clouds
175,Atar,MR,20.5169,-13.0499,88.81,23,4,7.63,clear sky
176,Muros,ES,42.7762,-9.0603,64.24,78,99,9.71,overcast clouds
177,Beira,MZ,-19.8436,34.8389,64.49,94,20,3.44,few clouds
178,Sarkand,KZ,45.41,79.9186,48.92,31,84,3.98,broken clouds
179,Takoradi,GH,4.8845,-1.7554,75.7,94,93,6.73,overcast clouds
180,Fara In Sabina,IT,42.2089,12.7292,62.78,89,29,3.27,scattered clouds
181,Ateli,IN,28.1,76.2833,78.87,82,82,7.54,broken clouds
182,Pisco,PE,-13.7,-76.2167,61.02,82,0,5.75,clear sky
183,Sinnamary,GF,5.3833,-52.95,79.86,84,22,11.01,few clouds
184,Titlagarh,IN,20.3,83.15,78.48,86,100,3.2,overcast clouds
