City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
233,Trairi,BR,78.6,broken clouds,-3.2778,-39.2689,janelas do mar
237,Puri,IN,82.92,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
239,Kutum,SD,77.05,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
245,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
248,Bilma,NE,84.2,clear sky,18.6853,12.9164,Expeditions Ténére voyages
256,Trincomalee,LK,81.48,overcast clouds,8.5711,81.2335,Welcombe Hotel
259,Iraucuba,BR,76.35,broken clouds,-3.7461,-39.7833,Hotel Terra da Amizade
260,Iranshahr,IR,84.54,clear sky,27.2025,60.6848,نیک سرشت
262,Ugoofaaru,MV,82.58,broken clouds,5.6667,73.0,Ungoofaaru Inn
267,Sabha,LY,79.75,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
268,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
270,Dalbandin,PK,75.54,clear sky,28.8947,64.4101,Gidaan Guest House
271,Karwar,IN,77.16,overcast clouds,14.8,74.1333,Netalco Connects
275,Estelle,US,75.18,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
282,Xapuri,BR,83.59,broken clouds,-10.6517,-68.5044,Pousada dos Chapurys
284,Palmeirais,BR,80.06,overcast clouds,-5.9778,-43.0633,Pousada LS
291,Mastic Beach,US,76.03,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
292,Urucara,BR,79.14,light rain,-2.5364,-57.76,Pousada Maria Bonita
298,Weligama,LK,80.85,broken clouds,5.9667,80.4167,Weligama Bay Resort
302,Djibo,BF,84.69,scattered clouds,14.1022,-1.6306,Centre Des Ressources DPENA
310,Rio Verde De Mato Grosso,BR,85.42,few clouds,-18.9181,-54.8442,Hotel Valência
313,Doha,QA,84.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
314,Bubaque,GW,81.43,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
319,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
323,Bosaso,SO,88.68,broken clouds,11.2842,49.1816,Red Sea Hotel
324,Westport,US,76.82,overcast clouds,41.1415,-73.3579,The Westport Inn
333,Kasaragod,IN,76.26,overcast clouds,12.5,75.0,Thalathoor Heritage
335,Veraval,IN,80.28,broken clouds,20.9,70.3667,Lords Inn Somnath
